Project_Title,Sector,Location,Estimated_Cost,Expected_Annual_Revenue,Payback_Period_Years,Client_Experience,Risks,Objective,Decision
Logistics Global Project 166,Logistics,São Paulo,1592563,7436638,6.1,Experienced operator in global logistics,Regulatory delays; Limited skilled labor; Permit delays,Establish a logistics project targeting urban centers.,APPROVED
Real Estate Global Project 167,Real Estate,Frankfurt,2143441,2647033,1.7,MBA graduate entering fintech,Unproven business model,Establish a real estate project targeting international investors.,MODIFY
Renewable Energy Global Project 168,Renewable Energy,São Paulo,1299987,4946527,6.3,Doctor turned healthcare investor,Market saturation; Technology failure; Supply chain issues,Establish a renewable energy project targeting emerging markets.,APPROVED
Renewable Energy Global Project 169,Renewable Energy,New York,934538,2069635,7.9,Academic turned edtech innovator,Limited skilled labor; Regulatory delays; Unproven business model,Establish a renewable energy project targeting international investors.,MODIFY
Renewable Energy Global Project 170,Renewable Energy,Singapore,361567,3066039,3.9,MBA graduate entering fintech,Permit delays; Limited skilled labor; Market saturation,Establish a renewable energy project targeting underserved regions.,APPROVED
Tourism Global Project 171,Tourism,Hong Kong,4029666,6839800,5.6,15 years in government project management,Environmental risks; High capital expenditure,Establish a tourism project targeting international investors.,MODIFY
Logistics Global Project 172,Logistics,Hong Kong,4096956,3661637,1.5,Tech entrepreneur with exits,Regulatory delays; Permit delays,Establish a logistics project targeting underserved regions.,REJECTED
Real Estate Global Project 173,Real Estate,Doha,4694648,1367463,5.2,Retail chain owner expanding online,Technology failure,Establish a real estate project targeting urban centers.,APPROVED
Manufacturing Global Project 174,Manufacturing,Tokyo,1132535,2974349,4.0,MBA graduate entering fintech,Market saturation; Political instability; Unproven business model,Establish a manufacturing project targeting international investors.,APPROVED
Real Estate Global Project 175,Real Estate,Frankfurt,2836875,168043,3.3,Tech entrepreneur with exits,Market saturation; Environmental risks,Establish a real estate project targeting international investors.,REJECTED
Education Global Project 176,Education,Frankfurt,824819,3799902,2.1,MBA graduate entering fintech,Market saturation; Regulatory delays; Environmental risks,Establish a education project targeting underserved regions.,APPROVED
Information Technology Global Project 177,Information Technology,Dubai,1520226,5203774,4.7,MBA graduate entering fintech,Limited skilled labor; High capital expenditure; Environmental risks,Establish a information technology project targeting urban centers.,REJECTED
Manufacturing Global Project 178,Manufacturing,Sydney,843183,7025138,3.4,15 years in government project management,Regulatory delays; Permit delays; Market saturation,Establish a manufacturing project targeting international investors.,MODIFY
Retail Global Project 179,Retail,Istanbul,2354746,5865756,4.6,Experienced operator in global logistics,Permit delays; Environmental risks; Supply chain issues,Establish a retail project targeting underserved regions.,APPROVED
Renewable Energy Global Project 180,Renewable Energy,Mumbai,3019446,6333733,3.5,Retail chain owner expanding online,Political instability; Unproven business model; Regulatory delays,Establish a renewable energy project targeting underserved regions.,APPROVED
Retail Global Project 181,Retail,Doha,1899609,302793,5.8,15 years in government project management,Political instability,Establish a retail project targeting international investors.,APPROVED
Logistics Global Project 182,Logistics,New York,404791,2966758,5.5,Retail chain owner expanding online,Technology failure; Regulatory delays; Environmental risks,Establish a logistics project targeting international investors.,MODIFY
Agriculture Global Project 183,Agriculture,Toronto,1490539,818674,2.8,Doctor turned healthcare investor,Political instability; Environmental risks; Limited skilled labor,Establish a agriculture project targeting emerging markets.,APPROVED
Agriculture Global Project 184,Agriculture,Toronto,2222725,3921034,5.8,Doctor turned healthcare investor,Supply chain issues; Market saturation; High capital expenditure,Establish a agriculture project targeting urban centers.,REJECTED
Healthcare Global Project 185,Healthcare,Frankfurt,4432484,7059491,5.6,Doctor turned healthcare investor,Environmental risks; Regulatory delays,Establish a healthcare project targeting emerging markets.,REJECTED
Education Global Project 186,Education,Tokyo,2320137,1304017,4.7,15 years in government project management,Unproven business model,Establish a education project targeting underserved regions.,APPROVED
Manufacturing Global Project 187,Manufacturing,Toronto,2929538,3851498,7.2,Academic turned edtech innovator,Regulatory delays; Market saturation; High capital expenditure,Establish a manufacturing project targeting emerging markets.,REJECTED
Real Estate Global Project 188,Real Estate,Mumbai,540460,4695831,7.5,MBA graduate entering fintech,Environmental risks; Limited skilled labor,Establish a real estate project targeting international investors.,APPROVED
Real Estate Global Project 189,Real Estate,London,3819114,7439017,4.9,Academic turned edtech innovator,Technology failure; Environmental risks,Establish a real estate project targeting urban centers.,REJECTED
Information Technology Global Project 190,Information Technology,Johannesburg,4441280,7806492,3.7,MBA graduate entering fintech,Unproven business model,Establish a information technology project targeting emerging markets.,REJECTED
Tourism Global Project 191,Tourism,Hong Kong,4336111,1148009,3.2,Tech entrepreneur with exits,Technology failure; Political instability,Establish a tourism project targeting underserved regions.,MODIFY
Renewable Energy Global Project 192,Renewable Energy,London,2631819,1632634,8.4,Retail chain owner expanding online,Unproven business model,Establish a renewable energy project targeting urban centers.,APPROVED
Retail Global Project 193,Retail,New York,3461485,5105745,3.1,Doctor turned healthcare investor,Limited skilled labor; Supply chain issues; High capital expenditure,Establish a retail project targeting underserved regions.,REJECTED
Agriculture Global Project 194,Agriculture,Hong Kong,3681496,871298,1.2,15 years in government project management,Political instability; High capital expenditure,Establish a agriculture project targeting underserved regions.,APPROVED
Information Technology Global Project 195,Information Technology,Frankfurt,4265334,6418524,3.5,MBA graduate entering fintech,Regulatory delays; Supply chain issues,Establish a information technology project targeting underserved regions.,MODIFY
Information Technology Global Project 196,Information Technology,Toronto,3996841,7446724,3.7,15 years in government project management,Market saturation; Permit delays; Regulatory delays,Establish a information technology project targeting urban centers.,REJECTED
Education Global Project 197,Education,Istanbul,541164,3008450,7.4,Retail chain owner expanding online,Unproven business model,Establish a education project targeting international investors.,MODIFY
Renewable Energy Global Project 198,Renewable Energy,Sydney,2138719,1611011,7.7,Tech entrepreneur with exits,Limited skilled labor; Market saturation,Establish a renewable energy project targeting international investors.,APPROVED
Tourism Global Project 199,Tourism,Johannesburg,2323194,7019848,2.9,Startup founder with VC backing,Unproven business model; Permit delays; High capital expenditure,Establish a tourism project targeting urban centers.,APPROVED
Agriculture Global Project 200,Agriculture,Johannesburg,1554866,2726948,8.4,15 years in government project management,Political instability; Supply chain issues; Regulatory delays,Establish a agriculture project targeting emerging markets.,APPROVED
